Valor (UF),Dormitorios,Banos,sup. construida,sup. Terreno,estacion metro
16.7,3,,,,"89,512"
11.13,2,1,,,"90,262"
37.53,4,,,,"88,634"
47.62,5,,,,"87,733"
13.89,2,2,58,,"64,641"
13.67,3,,,,"63,358"
13.69,3,,,,"64,329"
22.26,4,,,,"63,690"
14.45,3,,,,"63,690"
27.46,3,,,,"63,690"
21.57,4,,,,"63,690"
21.57,4,,,,"63,690"
35.3,4,3,240,5000,"63,690"
22.36,4,,,,"63,690"
25.5,4,,,,"63,690"
33.34,6,,,,"63,690"
35.3,4,,,,"66,022"
29.42,4,,,,"63,690"
35.69,4,,,,"64,318"
12.23,3,3,,,"63,690"
22.66,4,,,,"64,681"
11.83,3,2,75,,"63,690"
39.44,4,3,240,5000,"63,690"
10.65,3,1,50,150,"63,336"
23.67,4,,,,"64,771"
35.5,4,4,240,800,"63,967"
19.84,3,,,,"63,690"
10.16,3,1,44,46,"60,674"
11.33,2,,,,"61,349"
9.57,1,1,,,"64,065"
23.44,4,,,,"65,684"
10.55,3,1,,,"63,943"
14.06,3,,,,"65,684"
9.18,3,1,47,,"60,674"
10.2,3,1,,,"63,943"
10.59,3,,,,"60,674"
11.77,2,2,,,"64,641"
14.91,3,2,65,,"64,065"
8.24,3,1,48,,"60,674"
9.02,3,1,50,50,"60,602"
7.47,1,,,,"64,023"
7.04,1,,,,"64,023"
9.02,3,5,,1000,"64,352"
8.24,3,1,,,"60,857"
9.02,3,1,,,"60,674"
7.06,3,,,,"60,657"
29.42,,,,,"64,070"
9.02,3,,,,"61,215"
7.68,1,,,,"64,023"
18.14,3,2,,,"65,687"
14.2,3,2,,,"63,936"
4.73,1,1,30,37,"65,474"
19.72,3,,,,"65,469"
7.1,2,,,,"62,496"
11.44,2,1,51,58,"64,429"
8.68,3,1,48,,"60,868"
9.47,3,1,45,,"60,674"
7.89,3,,,,"61,388"
16.17,3,,,,"64,065"
10.26,2,,,,"64,065"
13.89,3,2,73,,"64,065"
11.11,2,2,60,,"64,515"
8.73,3,,,,"63,656"
9.13,3,1,50,,"61,215"
13.89,2,2,58,,"64,641"
13.89,2,2,55,,"64,014"
11.51,2,,,,"64,346"
10.72,1,1,50,,"63,968"
10.32,2,1,,,"63,972"
21.03,3,2,,,"65,851"
9.13,3,1,55,,"60,674"
11.11,2,1,55,55,"64,434"
13.93,4,,,,"65,928"
30.03,11,3,270,596,"63,571"
9.81,3,,,,"64,065"
10.2,3,1,,,"62,992"
43.15,5,4,320,650,"65,684"
29.42,4,3,140,440,"65,884"
7.84,3,1,,,"59,376"
25.5,3,3,130,400,"64,792"
117.67,7,5,500,900,"64,089"
25.5,4,,,,"64,792"
25.5,3,2,,,"64,725"
31.38,5,,,,"64,557"
19.72,3,2,,,"65,709"
11.83,3,2,,,"59,165"
51.28,5,3,230,650,"65,919"
51.59,4,3,,280,"65,919"
31.75,4,3,150,400,"64,287"
19.61,3,,,,"235,152"
5.95,,,,,"235,152"
7.81,1,1,,,"224,520"
10.2,3,,,,"224,811"
9.41,,,,,"225,073"
9.41,2,,,,"225,073"
19.61,5,4,,,"224,864"
10.2,2,1,,,"225,201"
10.2,4,,,,"224,622"
11.77,3,2,,,"225,073"
17.65,,,,,"224,115"
17.65,2,,,,"224,115"
14.91,2,,,,"225,294"
7.08,1,1,,,"224,080"
7.04,1,1,,,"224,080"
11.06,4,3,,,"225,436"
8.63,3,1,,,"225,177"
11.77,4,3,110,,"225,436"
11.77,4,3,,,"225,436"
23.53,2,,,,"224,021"
13.73,1,1,,,"224,021"
9.41,2,1,,,"225,465"
9.41,2,1,,,"225,465"
9.81,2,1,,,"225,465"
9.81,2,1,,,"225,465"
9.81,2,2,,,"225,073"
9.81,2,2,,,"225,241"
7.84,2,,,,"225,073"
9.02,1,1,,,"224,774"
7.84,3,1,,,"226,135"
9.41,2,,,,"225,073"
9.02,2,1,,,"225,249"
8.63,1,1,,,"225,073"
5.88,2,1,,,"223,388"
7.84,2,1,,,"225,465"
3.92,1,1,,,"225,521"
10.2,3,2,65,,"224,811"
9.41,,,,,"224,520"
10.2,3,3,65,,"224,811"
9.41,2,2,,,"224,927"
9.02,2,,,,"225,202"
7.84,2,1,,,"224,727"
11.77,,,,,"224,520"
11.77,,,,,"224,520"
8.63,2,2,,,"225,073"
7.84,2,,,,"222,637"
8.24,1,1,,,"225,055"
9.22,2,1,,,"225,365"
7.45,3,1,,,"226,536"
9.47,3,,90,,"224,856"
8.28,1,1,,,"224,563"
3.55,1,1,,,"224,911"
9.47,,,,,"225,073"
7.89,3,,,,"222,637"
11.04,,,,,"223,604"
11.83,1,1,,,"225,733"
10.65,,,,,"222,637"
9.86,,,,,"225,073"
26.82,3,,,,"224,115"
11.44,3,2,,,"224,520"
6.51,3,1,,,"222,637"
5.52,2,,,,"221,649"
6.71,3,1,,,"222,637"
6.71,3,1,,,"222,637"
8.28,2,,,,"222,637"
14.99,3,,,,"224,080"
11.44,3,1,,,"224,796"
9.47,,,,,"225,294"
9.47,,,,,"225,294"
9.47,2,,,,"225,294"
7.1,2,,,,"226,754"
11.83,2,,,,"225,294"
9.47,2,,,,"224,520"
8.68,,,,,"225,249"
16.17,,,,,"224,115"
7.89,3,2,,,"222,637"
8.68,,,,,"222,637"
8.68,3,2,,,"222,637"
8.68,2,,,,"225,249"
9.86,2,2,,,"225,073"
3.75,2,,,,"224,008"
9.86,4,3,,,"225,343"
9.86,3,1,,,"223,310"
8.28,1,1,,,"225,073"
8.28,3,,,,"226,131"
7.89,3,,,,"222,637"
11.83,,,,,"224,520"
9.07,1,1,,,"224,157"
11.83,,,,,"224,520"
8.28,1,1,,,"225,073"
16.57,2,2,,,"223,955"
9.47,2,1,,,"224,520"
9.47,2,1,,,"224,520"
11.04,,,,,"225,201"
7.89,2,1,,,"224,203"
11.83,4,2,65,,"223,291"
7.11,1,1,,,"224,080"
11.04,2,1,,,"225,201"
9.86,2,1,,,"225,201"
7.89,2,1,,,"224,203"
7.89,2,1,,,"224,203"
3.35,3,,,,"225,763"
8.28,,,,,"225,249"
7.1,1,1,,,"225,073"
9.13,2,2,,,"225,073"
9.13,,,,,"225,073"
11.11,,,,,"224,520"
10.72,3,2,60,,"227,251"
7.54,,,,,"224,542"
9.52,,,,,"224,520"
15.08,,,,,"224,115"
7.94,3,2,,,"225,743"
11.51,2,2,,,"224,494"
17.07,2,2,65,,"224,115"
7.14,1,1,,,"225,073"
7.14,,,,,"222,637"
9.92,,,,,"225,055"
9.52,2,1,,,"223,936"
9.13,2,2,,,"225,055"
9.52,,,,,"224,516"
11.91,3,,,,"224,611"
17.86,2,,,,"223,955"
3.17,,,,,"224,719"
7.94,2,,,,"226,879"
10.52,3,2,,,"224,080"
11.51,2,2,,,"224,494"
7.94,3,1,,,"225,206"
7.94,3,2,,,"222,637"
8.33,3,3,60,,"222,637"
9.13,2,,,,"225,249"
5.95,2,,,,"222,636"
11.83,3,,,,"225,251"
6.35,3,1,,,"222,637"
12.7,4,3,,,"225,442"
7.54,2,,,,"224,520"
9.92,1,1,,,"225,573"
7.94,3,1,,,"222,637"
8.73,2,1,,,"224,520"
11.33,3,,,,"225,964"
7.84,3,,,,"227,812"
11.77,4,3,,,"225,442"
11.77,4,3,,,"225,442"
5.88,,,,,"227,532"
5.88,,,,,"227,532"
7.84,2,1,,,"224,080"
8.63,4,,,,"224,168"
6.28,2,1,,,"228,008"
7.84,2,1,,,"227,119"
9.02,3,2,,,"224,080"
9.02,3,2,,,"224,080"
14.12,4,3,,,"223,584"
7.06,3,3,,,"225,770"
9.02,,,60,200,"223,420"
7.84,,,,,"223,420"
7.84,2,,,,"223,420"
11.77,3,,,,"223,406"
7.45,3,1,,,"228,606"
6.67,2,,,,"227,166"
7.06,3,1,,,"228,130"
9.81,4,2,,,"224,404"
10.2,4,,,,"224,713"
7.06,2,,,,"225,528"
11.77,4,,,,"224,354"
10.79,,,,,"224,307"
156.9,4,,,,"224,543"
7.84,2,,,,"221,883"
7.06,,,,,"223,170"
7.06,3,,,,"227,598"
7.06,4,1,,,"221,883"
11.77,3,2,,,"224,062"
5.88,3,1,,,"223,358"
5.49,2,,,,"227,619"
7.06,3,1,,,"224,562"
6.47,3,1,,,"224,562"
5.88,2,1,,,"225,358"
7.84,3,1,,,"225,287"
4.71,2,,,,"227,023"
7.06,3,,,,"223,793"
5.88,2,1,,,"223,394"
7.84,3,,,,"227,801"
7.06,2,,,,"225,152"
9.41,4,,,,"225,372"
6.28,2,1,,,"224,080"
7.84,2,2,,,"223,192"
7.06,4,1,,,"221,883"
9.02,,,,,"227,066"
25.5,,,,,"224,788"
7.84,4,,,,"223,266"
10.98,3,,,,"222,233"
4.71,,,,,"226,130"
10.98,,,,,"222,233"
7.84,3,,,,"227,068"
10.2,3,2,,,"223,386"
8.63,3,2,,,"221,690"
8.63,3,1,,,"225,840"
7.06,2,1,,,"225,186"
4.71,2,1,,,"225,637"
9.81,3,,,,"227,506"
6.71,2,,,,"228,569"
6.71,2,1,45,,"228,569"
5.32,1,1,,,"226,805"
7.1,4,1,,,"221,883"
11.04,3,2,,,"223,460"
3.94,2,1,,,"225,746"
7.89,2,2,,,"226,606"
6.31,2,1,,,"224,080"
8.68,3,1,50,200,"227,484"
4.73,2,1,,,"225,637"
11.83,4,3,,,"225,442"
11.83,3,,,,"226,756"
10.85,5,2,,,"222,556"
11.83,3,2,,,"223,837"
11.83,5,2,84,140,"222,556"
10.65,4,2,,,"223,291"
8.68,3,2,,,"223,595"
9.86,4,,,,"224,080"
9.47,4,2,38,100,"226,372"
12.82,,,,288,"223,794"
13.81,4,,,,"223,649"
9.86,4,,,,"224,017"
8.68,3,2,,,"225,742"
8.68,4,,,,"224,081"
7.1,,,,,"228,004"
12.62,3,2,,,"223,926"
10.06,5,2,,,"226,785"
10.06,3,,,,"225,489"
6.31,3,1,,,"224,080"
7.89,3,1,,,"222,014"
9.86,4,1,,,"228,405"
7.1,,,,,"227,615"
7.1,3,1,,,"227,615"
12.62,3,,,,"223,585"
5.92,2,,,,"225,742"
9.07,3,1,,,"226,711"
14.59,3,2,96,220,"223,608"
14.59,3,,96,220,"223,608"
5.92,,,,,"223,027"
10.26,,,,,"223,208"
11.83,,,,,"224,119"
8.68,2,,,,"225,055"
5.13,1,1,,,"223,792"
11.04,4,,,,"222,459"
7.1,2,1,,,"228,322"
14.59,3,,,,"223,291"
7.1,3,,,,"223,291"
10.65,3,,,,"224,776"
7.89,4,2,,,"226,787"
7.1,3,1,,,"227,615"
13.89,5,,,,"223,188"
6.35,2,1,,,"227,249"
8.73,3,2,,,"226,432"
7.34,2,,,,"226,801"
8.73,3,2,,,"224,080"
8.73,2,,,,"227,220"
11.11,,,,,"223,949"
13.1,3,2,,,"223,419"
6.35,3,1,,,"226,960"
7.94,2,1,,,"224,724"
9.52,5,2,,,"224,870"
13.89,,,,,"224,107"
9.13,4,,,,"224,080"
11.51,4,2,,,"223,139"
7.94,4,2,,,"224,569"
5.56,2,,,,"226,800"
8.73,4,,,,"224,080"
7.14,3,,,,"223,113"
15.87,3,,,,"223,188"
9.13,3,2,,,"227,221"
7.94,2,1,,,"226,721"
11.91,,,,,"225,567"
11.91,3,,,,"224,055"
9.13,3,2,,,"225,268"
6.75,2,,,,"225,007"
10.32,4,2,,,"221,570"
11.91,3,3,,,"222,899"
13.89,4,3,,,"225,208"
13.89,4,2,,,"224,105"
10.72,3,2,,,"223,327"
6.35,2,,,,"227,704"
11.91,4,,,,"225,567"
11.91,,,,,"224,055"
7.94,4,1,,,"221,563"
7.94,4,1,52,54,"221,563"
47.62,11,4,230,450,"225,491"
12.7,3,2,80,150,"225,287"
10.94,2,2,,,"431,500"
13.73,3,,,,"430,635"
7.03,1,1,,,"421,430"
10.16,3,2,,,"418,256"
8.59,1,,,,"421,552"
10.57,2,2,,,"421,106"
8.2,1,1,,,"420,018"
8.98,1,1,,,"422,201"
11.72,3,2,,,"422,639"
11.77,3,2,,,"421,333"
9.22,2,,,,"419,575"
9.02,2,,,,"411,903"
10.98,2,,,,"421,332"
9.81,1,1,,,"419,575"
9.41,1,1,,,"422,277"
10.59,2,,,,"417,682"
11.77,3,2,,,"425,108"
16.08,2,,,,"419,575"
16.08,3,,,,"421,126"
9.41,1,1,,,"420,396"
7.84,2,1,,,"420,422"
11.77,2,,,,"422,981"
14.07,2,,,,"422,981"
9.05,3,1,,,"419,405"
10.59,2,2,,,"422,468"
9.02,1,1,,,"422,822"
9.81,3,1,,,"441,370"
11.77,2,,,,"422,981"
9.81,2,,,,"420,422"
10.2,3,2,,,"422,204"
14.91,3,2,,,"422,138"
7.06,2,1,,,"418,706"
14.91,3,,,,"422,109"
13.34,2,2,,,"409,243"
8.63,1,,,,"422,139"
11.38,2,2,,,"419,575"
12.06,4,,,,"422,642"
7.84,1,1,,,"420,844"
8.24,2,1,,,"420,780"
13.73,2,2,,,"421,682"
11.38,2,,,,"419,505"
10.98,2,,,,"422,109"
10.59,1,,,,"423,079"
9.02,2,1,,,"419,505"
5.49,2,,,,"423,300"
9.81,3,,,,"418,508"
13.07,2,,,,"421,940"
16.87,2,,,,"421,921"
13.53,2,,,,"424,552"
9.02,1,,,,"421,305"
11.38,2,1,,,"422,277"
10.98,3,,,,"418,326"
9.41,3,,,,"419,405"
16.08,3,2,,,"421,126"
23.18,3,,,,"422,598"
9.02,3,,,,"418,326"
14.91,3,,,,"419,575"
7.1,2,,,,"418,706"
9.86,3,1,,,"418,147"
11.24,3,2,,,"418,159"
11.24,2,,,,"422,050"
14.99,3,2,,,"422,102"
13.81,3,2,90,,"421,385"
8.68,3,1,,,"422,184"
10.26,2,2,48,,"420,937"
7.89,1,1,,,"421,592"
11.44,2,2,55,,"419,575"
14.2,3,2,,,"419,575"
11.44,2,2,,,"423,079"
7.89,3,,,,"425,217"
9.47,2,,,,"421,018"
11.44,2,,,,"424,428"
12.62,3,2,,,"420,844"
11.83,2,,,,"419,575"
12.62,2,2,,,"426,939"
7.1,3,1,,,"425,184"
7.89,1,1,,,"422,822"
12.7,2,2,,,"410,044"
17.86,4,3,,,"419,433"
9.92,2,2,,,"418,256"
10.72,2,2,,,"420,844"
9.13,2,2,,,"422,184"
8.33,1,,,,"420,396"
14.68,3,2,78,,"422,833"
11.51,2,2,67,,"425,872"
11.91,2,2,,,"422,220"
15.68,3,2,,,"423,079"
16.67,2,2,,,"422,981"
18.26,3,2,,,"417,942"
9.13,2,,,,"422,184"
13.89,2,2,,,"421,305"
19.59,4,,,,"418,500"
37.11,5,4,,,"417,051"
11.38,3,2,,,"412,310"
9.02,2,,,,"420,386"
10.59,3,2,,,"422,373"
6.67,2,,,,"434,097"
13.73,3,,,,"421,385"
14.32,3,,,,"417,443"
8.63,3,1,,,"421,736"
7.06,2,1,,,"421,528"
10.98,2,3,,,"421,385"
15.78,4,3,,,"417,079"
15.38,3,,,,"419,620"
17.75,3,2,,,"409,078"
63.11,5,,,,"422,422"
11.04,3,,,,"420,457"
13.81,4,4,,,"421,505"
8.28,2,,,,"417,106"
11.04,3,2,,,"429,190"
63.5,5,,,,"422,387"
63.5,5,,,,"422,276"
5.95,6,,,,"420,088"
3.94,2,,,,"452,139"
10.94,2,,,,"426,931"
7.81,2,1,47,,"432,064"
15.69,4,3,,,"432,630"
13.73,3,,,,"431,749"
9.81,3,1,85,,"426,700"
12.55,3,,,,"426,843"
11.77,2,2,64,77,"426,689"
15.69,2,2,68,,"426,843"
12.55,3,,,,"426,843"
11.77,2,,,,"426,256"
12.62,2,,,,"425,906"
13.81,3,2,,,"426,487"
19.72,3,,,,"426,843"
12.62,2,,,,"427,671"
11.91,2,2,53,,"425,869"
11.34,3,2,88,220,"432,619"
13.73,4,3,108,180,"425,959"
13.81,4,4,116,,"432,643"
8.63,3,1,,,"600,688"
9.76,2,1,36,,"596,994"
9.37,1,1,,,"597,223"
12.5,3,2,90,,"592,703"
9.37,1,1,,,"597,223"
15.62,3,2,115,,"597,019"
13.73,2,2,69,,"599,876"
10.05,2,1,,,"597,544"
9.41,1,1,40,,"597,223"
12.94,2,2,55,55,"597,490"
8.43,1,1,38,,"597,440"
8.63,2,1,52,,"596,994"
14.12,2,2,70,,"597,866"
109.83,2,2,67,,"598,135"
11.38,3,2,70,,"599,482"
10.98,2,2,,,"597,728"
13.07,3,2,,,"597,984"
9.02,2,2,,,"588,803"
13.84,2,2,62,,"597,879"
8.68,2,1,47,,"596,994"
7.89,1,1,24,24,"597,223"
12.62,2,2,60,60,"597,692"
9.47,3,2,61,,"598,045"
7.1,1,1,45,,"598,424"
8.28,1,1,27,,"598,091"
7.49,2,1,47,,"596,994"
13.89,2,2,,,"597,054"
10.32,2,1,63,,"597,431"
13.89,3,2,80,,"597,984"
11.91,2,2,71,,"600,917"
13.89,3,2,,,"597,142"
10.2,3,2,,,"598,052"
17.65,3,1,,,"597,177"
9.41,3,1,,,"597,177"
4.71,,,,,"601,725"
9.02,3,,,,"601,160"
8.63,3,1,,,"596,318"
12.94,3,3,96,,"597,177"
25.13,1,1,,300,"597,570"
13.53,3,2,67,67,"597,049"
18.26,4,4,,,"596,008"
7.54,3,2,,,"597,940"
9.52,3,2,,,"596,560"
6.28,2,1,40,,"897,964"
9.02,1,1,42,,"896,372"
8.83,1,1,32,,"896,372"
25.13,4,4,154,,"896,731"
8.83,1,1,,,"896,372"
10.2,3,1,50,,"897,235"
11.38,4,2,,,"897,369"
13.73,3,2,,,"897,235"
10.65,3,2,68,,"897,235"
13.41,3,2,45,,"897,235"
9.86,2,1,55,,"897,907"
19.84,5,2,140,,"896,736"
13.73,3,3,,,"895,899"
10.32,3,2,87,,"881,755"
9.86,3,1,,,"1,335,615"
18.26,3,2,100,,"1,334,858"
11.77,5,1,47,,"2,170,061"
13.73,1,2,,,"2,172,373"
7.06,1,1,,,"2,171,923"
7.45,1,1,,,"2,170,292"
15.78,4,1,,,"2,172,111"
9.86,1,1,,,"2,172,208"
6.67,1,1,,,"2,171,594"
7.84,2,1,,,"2,171,541"
21.57,4,1,,,"2,170,821"
13.73,2,1,,,"2,174,010"
12.55,2,,,,"2,173,815"
8.68,1,1,,,"2,169,437"
11.44,2,1,,,"2,172,305"
12.23,3,1,,,"2,173,549"
13.81,2,1,,,"2,173,014"
19.72,2,1,,,"2,169,785"
15.78,3,2,148,,"2,173,356"
16.96,2,2,,,"2,171,501"
14.79,3,1,,,"2,173,357"
16.76,3,2,148,,"2,173,356"
9.57,3,1,60,,"729,644"
11.38,2,1,56,,"729,644"
8.24,1,1,,,"729,060"
10.98,3,2,,,"729,602"
11.18,3,2,58,,"729,443"
11.38,3,2,,,"729,644"
11.38,3,1,,,"729,644"
11.04,3,1,,,"729,644"
7.89,3,1,,,"729,491"
7.1,2,1,,,"729,544"
10.65,2,2,,,"729,602"
7.89,2,1,,,"730,876"
7.89,2,,,,"730,977"
9.07,2,1,,,"730,876"
11.51,3,1,56.5,,"730,454"
11.91,3,1,56.5,,"730,454"
10.32,3,1,,,"730,909"
11.51,3,1,,,"729,644"
11.11,2,1,,,"730,454"
10.72,3,1,,,"729,644"
8.73,3,1,,,"730,685"
10.32,3,1,,,"729,644"
7.94,2,,,,"728,727"
11.91,2,1,,,"730,512"
11.31,3,2,,,"729,602"
10.32,3,1,,,"730,876"
10.32,3,1,,,"729,644"
7.84,2,1,,,"728,931"
9.81,3,2,,,"730,481"
8.63,2,1,,,"731,903"
12.94,3,2,,,"729,212"
11.77,3,2,80,,"726,632"
5.88,3,1,,,"728,106"
10.65,3,2,,,"730,378"
7.94,2,,,,"730,195"
10.32,2,2,,,"730,807"
13.89,3,2,,,"731,857"
15.22,3,2,95,,"426,856"
21.59,4,4,130,,"426,931"
14.05,2,2,80,,"427,578"
10.93,3,2,90,,"431,964"
13.09,3,2,79,,"426,262"
13.88,3,2,83,,"427,619"
14.28,3,2,95,,"425,763"
9.91,2,2,50,,"426,454"
10.71,2,2,75,,"426,689"
13.66,1,1,38,,"415,440"
11.71,2,2,65,,"425,916"
7.93,3,2,61,,"420,473"
11.5,2,1,53.4,,"730,587"
15.86,3,2,110,,"425,856"
13.88,2,2,60,,"882,638"
13.88,3,2,84,,"418,293"
14.28,3,2,76.3,,"732,144"
9.52,2,1,47,,"421,522"
9.91,1,1,38,,"425,906"
9.91,3,2,80,,"421,522"
11.1,2,2,59,,"425,621"
11.51,2,2,76,,"427,180"
9.12,2,1,49,,"419,283"
7.93,2,1,55,,"420,542"
9.32,3,2,60,,"432,630"
13.88,2,2,78,,"425,860"
12.49,2,1,47,,"881,501"
11.1,3,2,65,,"431,003"
7.53,3,1,50,,"432,115"
10.31,2,1,52,,"896,369"
12,3,2,60,,"895,180"
26.53,4,3,140,,"427,172"
9.36,1,1,32,,58
3.9,1,1,25,,901
4.29,1,1,40,,"225,702"
5.07,1,1,35,,"79,294"
5.35,1,1,40,,"79,296"
5.46,1,1,40,,424
5.46,1,1,28,,576
5.46,1,1,25,,"89,917"
5.85,1,1,35,,"9,854"
5.85,1,1,30,,696
5.85,1,1,30,,482
5.85,1,1,28,,"1,359"
9.75,1,1,45,,"592,766"
5.85,2,1,36,,"1,578"
5.85,1,1,28,,"3,548"
5.9,3,1,57,,"76,235"
5.9,1,1,22,,404
5.9,2,2,33,,"389,606"
5.94,3,1,50,,"3,974"
5.95,1,1,22,,404
6.24,2,1,50,,"92,176"
6.24,2,1,54,,"222,067"
6.24,1,1,32,,72
6.24,1,1,28,,437
6.24,1,1,27,,"2,514"
6.24,1,1,23,,382
6.24,1,1,29,,370
6.24,2,1,53,,"429,128"
6.24,1,1,27,,268
6.25,3,1,60,,"4,417"
6.25,2,1,35,,522
6.31,1,1,20.2,,323
6.32,1,1,52,,418
6.34,2,1,55,,"419,243"
6.44,1,1,23,,797
6.44,1,1,25,,415
6.44,1,1,35,,"79,252"
6.44,1,1,27.1,,262
6.49,3,1,60,,"63,804"
6.63,1,1,35,,"1,643"
6.63,1,1,35,,"1,263"
6.63,2,1,46.1,,"85,601"
6.63,2,1,55,,"889,794"
6.63,1,1,35,,"1,643"
6.63,1,1,55,,"428,635"
6.63,1,1,40,,"89,929"
6.63,2,1,25,,"4,331"
6.63,1,1,25,,576
6.63,1,1,30,,588
6.63,1,1,23,,298
6.63,1,1,30,,124
6.63,1,1,22,,257
6.63,1,1,23,,185
6.64,2,1,43,,"224,085"
6.65,1,1,36,,295
6.66,1,1,21,,361
6.66,1,1,27,,"1,001"
6.67,1,1,32,,"422,299"
6.69,1,1,42,,"1,924"
6.69,1,1,27,,"1,007"
6.69,1,1,30,,342
6.7,1,1,42,,"1,804"
6.71,1,1,42,,"1,924"
6.74,1,1,26,,238
6.74,1,1,26.4,,326
6.74,1,1,32,,"421,126"
6.8,1,1,23.4,,472
6.83,1,1,25,,371
6.83,1,1,29,,"1,016"
6.83,1,1,30,,"1,016"
6.83,1,1,21,,450
6.83,1,1,25,,122
6.83,1,1,23,,269
6.83,1,1,22,,509
6.83,1,1,35,,143
6.89,1,1,27,,412
6.9,1,1,27,,412
6.91,1,1,25,,72
6.92,1,1,23,,968
6.92,1,1,23,,968
6.93,1,1,25,,72
6.94,1,1,25,,105
6.98,1,1,29,,"1,876"
7.02,1,1,30,,"1,934"
7.02,1,1,30,,"1,934"
7.02,1,1,37,,"1,924"
7.02,2,1,60,,"425,906"
7.02,1,1,33,,255
7.02,1,1,35,,"224,500"
7.02,1,1,28,,"1,332"
7.02,1,1,32,,"1,111"
7.02,1,1,24,,842
7.02,1,1,30,,"1,934"
7.02,1,1,27,,"2,099"
7.02,1,1,30,,"1,663"
7.02,1,1,32,,"1,323"
7.02,1,1,33,,"1,508"
7.02,3,1,55,,"60,863"
7.02,1,1,24,,"1,114"
7.02,2,1,40,,"64,715"
7.02,1,1,28,,209
7.02,1,1,39,,"421,521"
7.02,1,1,30,,"1,643"
7.02,1,1,21,,370
7.02,1,1,25,,818
7.02,1,1,24,,509
7.02,3,1,40,,"60,674"
7.02,2,1,50,,"599,908"
7.02,1,1,35,,455
7.02,1,1,24,,493
7.02,1,1,37,,"1,924"
7.02,1,1,30,,347
11.71,2,2,46,,"1,642"
7.02,1,1,30,,"1,934"
7.02,2,1,40,,"2,949"
7.02,1,1,25,,465
7.02,1,1,33,,252
7.02,1,1,23,,510
7.02,1,1,25,,204
7.02,1,1,24,,654
7.02,1,1,34,,957
7.02,2,1,45,,"419,959"
7.02,1,1,45.4,,"417,822"
7.02,1,1,28,,"1,733"
7.02,1,1,35,,437
7.02,1,1,39,,293
7.02,1,1,32,,73
7.03,1,1,32,,"1,256"
7.03,1,1,28.7,,382
7.03,1,1,28.7,,382
7.03,1,1,28.7,,382
7.04,2,1,56,,"419,261"
7.04,1,1,30,,567
7.04,2,1,60,,"426,285"
7.05,1,1,32,,"1,720"
7.05,1,1,32,,"1,643"
7.06,1,1,41,,"422,135"
7.06,1,1,35,,"224,500"
7.06,1,1,36,,871
7.07,1,1,39,,"92,941"
7.07,1,1,30,,727
7.07,1,1,26,,105
7.07,1,1,27,,"1,409"
7.07,1,1,40,,417
7.07,1,1,30,,"1,643"
7.07,1,1,30,,395
7.07,1,1,28,,539
7.08,1,1,35,,"1,320"
7.08,1,1,24,,95
7.08,1,1,29,,"420,505"
7.08,1,1,34,,453
7.08,1,1,26,,105
7.08,3,1,51,,433
7.08,2,2,70,,"20,699"
7.08,3,1,49,,"432,149"
7.08,1,1,35,,"2,068"
7.08,3,1,48,,"227,530"
7.09,1,1,30,,567
7.09,1,1,27,,592
7.09,1,1,30,,"1,259"
7.1,2,1,36,,"377,925"
7.1,1,1,32,,"1,111"
7.1,1,1,36,,468
7.12,1,1,30,,"1,210"
7.13,1,1,25,,637
7.13,3,1,50,,"432,115"
7.13,1,1,35,,223
7.13,1,1,32,,411
7.13,1,1,26,,105
7.13,2,1,59,,"422,821"
7.13,2,1,60,,57
7.14,1,1,30,,"1,038"
7.14,1,1,32,,"224,293"
7.14,1,1,27,,509
7.14,1,1,30,,"1,643"
7.22,2,1,45,,453
7.22,1,1,35,,930
7.22,1,1,30,,767
7.22,1,1,25,,803
7.22,3,1,50,,"89,263"
7.22,1,1,28,,"1,006"
7.22,1,1,30,,"1,190"
7.22,2,1,35,,309
7.22,1,1,30,,930
7.22,1,1,35,,"90,543"
7.22,1,1,30,,"2,068"
7.22,1,1,32,,446
7.22,1,1,33,,348
10.73,2,1,52,,"1,381"
7.22,1,1,40,,"90,351"
7.22,1,1,25,,"1,198"
7.22,1,1,30,,"1,924"
7.22,1,1,28,,628
7.29,1,1,30,,"1,332"
7.29,1,1,33,,540
7.31,1,1,26,,608
7.31,1,1,30,,"1,259"
7.31,1,1,28,,382
7.33,1,1,26,,345
7.33,1,1,29,,567
7.34,1,1,30,,"1,016"
7.4,1,1,36,,"1,099"
7.41,1,1,40,,939
7.41,1,1,30,,"1,924"
7.41,1,1,25,,277
7.41,1,1,27.1,,209
7.41,1,1,30,,"1,924"
7.41,1,1,30,,952
7.41,1,1,33,,"1,643"
7.41,1,1,25,,277
7.41,1,1,35,,"422,040"
7.41,1,1,45,,"1,752"
7.41,1,1,22.2,,425
7.41,1,1,26,,250
7.41,1,1,30,,"1,924"
7.41,1,1,35,,"1,643"
7.41,2,1,50,,"63,906"
7.41,1,1,30,,230
7.41,1,1,39,,"1,006"
7.41,1,1,30,,"1,748"
7.41,1,1,30,,"1,924"
7.41,3,1,65,,"76,192"
7.41,1,1,24,,356
7.41,1,1,23,,200
7.41,1,1,30,,"1,705"
7.41,1,1,32,,491
7.41,1,1,32,,"1,016"
7.41,1,1,27,,654
7.41,1,1,28,,412
7.41,3,1,50,,"1,540"
7.41,1,1,27,,"598,104"
7.41,1,1,35,,968
7.41,1,1,30,,478
7.41,1,1,35,,542
